date,machine,product,shift,planned_units,produced_units,good_first_pass_units,reworked_units,rejected_units,b_grade_units,planned_minutes,downtime_minutes,changeover_minutes,changeovers,energy_kwh
2026-06-08,Line 1,Shoe A,Day,1000,910,770,120,12,8,480,18,52,1,740
2026-06-15,Line 1,Shoe A,Day,1000,925,790,112,13,10,480,12,49,1,735
2026-06-22,Line 1,Shoe B,Day,1050,930,785,125,15,9,480,20,68,1,760
2026-06-29,Line 1,Shoe B,Day,1050,945,805,120,14,8,480,16,63,1,755
2026-07-06,Line 1,Shoe C,Day,1100,960,815,126,16,10,480,22,75,1,780
2026-07-13,Line 1,Shoe C,Day,1100,975,830,124,15,9,480,15,70,1,770
2026-07-20,Line 1,Shoe A,Day,1000,920,782,118,12,8,480,17,55,1,742
2026-07-27,Line 1,Shoe A,Day,1000,935,800,116,11,8,480,11,48,1,738
2026-08-03,Line 1,Shoe B,Day,1050,940,798,122,13,7,480,19,67,1,758
2026-08-10,Line 1,Shoe B,Day,1050,955,816,119,12,8,480,14,61,1,750
2026-08-17,Line 1,Shoe C,Day,1100,970,826,124,14,6,480,21,73,1,775
2026-08-24,Line 1,Shoe C,Day,1100,985,842,123,13,7,480,13,69,1,768
